SEQ,BLOCK,ADDRESS,OFFSET,VALUE,MASK,CALLER,PURPOSE
0001,PHY,0x00994564,0x164,0x0000001d,0x000000ff,mdss_dsi_8996_phy_regulator_enable,DL0 regulator bias
0002,PHY,0x009945e4,0x1e4,0x0000001d,0x000000ff,mdss_dsi_8996_phy_regulator_enable,DL1 regulator bias
0003,PHY,0x00994664,0x264,0x0000001d,0x000000ff,mdss_dsi_8996_phy_regulator_enable,DL2 regulator bias
0004,PHY,0x009946e4,0x2e4,0x0000001d,0x000000ff,mdss_dsi_8996_phy_regulator_enable,DL3 regulator bias
0005,PHY,0x00994764,0x364,0x0000001d,0x000000ff,mdss_dsi_8996_phy_regulator_enable,CLK lane regulator bias
0006,DSI_CTRL,0x0099412c,0x12c,0x00000001,0x00000001,mdss_dsi_phy_sw_reset,Assert PHY software reset
0007,DSI_CTRL,0x0099412c,0x12c,0x00000000,0x00000001,mdss_dsi_phy_sw_reset,De-assert PHY software reset
0008,PLL,0x0099444c,0x04c,0x00000001,0x000000ff,pll_vco_set_rate_8996,Set Post-N1 divider = 2
0009,PLL,0x00994448,0x048,0x00000000,0x000000ff,pll_db_commit_8996,Disable ext clk override
0010,PLL,0x00994800,0x000,0x00000004,0x000000ff,pll_db_commit_8996,Sysclk enable & reset config
0011,PLL,0x00994804,0x004,0x00000007,0x000000ff,pll_db_commit_8996,Enable Tx clock channels
0012,PLL,0x00994810,0x010,0x00000005,0x000000ff,pll_db_commit_8996,Reset SM control 3
0013,PLL,0x00994828,0x028,0x00000020,0x000000ff,pll_db_commit_8996,Reset SM counter initial
0014,PLL,0x0099482c,0x02c,0x00000000,0x000000ff,pll_db_commit_8996,Clear backup control
0015,PLL,0x00994830,0x030,0x00000038,0x000000ff,pll_db_commit_8996,Kvco divider reference part 1
0016,PLL,0x0099483c,0x03c,0x00000057,0x000000ff,pll_db_commit_8996,Lock comparison low byte (0x957)
0017,PLL,0x00994840,0x040,0x00000009,0x000000ff,pll_db_commit_8996,Lock comparison high byte (0x957)
0018,PLL,0x00994844,0x044,0x00000000,0x000000ff,pll_db_commit_8996,Lock comparison upper byte
0019,PLL,0x00994848,0x048,0x00000001,0x000000ff,pll_db_commit_8996,Enable lock comparison
0020,PLL,0x0099484c,0x04c,0x00000019,0x000000ff,pll_db_commit_8996,Min lock delay cycles
0021,PLL,0x0099486c,0x06c,0x0000005d,0x000000ff,pll_db_commit_8996,Integer decimation start (93)
0022,PLL,0x00994870,0x070,0x000000f0,0x000000ff,pll_db_commit_8996,Frac start byte 0 (0x740f0)
0023,PLL,0x00994874,0x074,0x00000040,0x000000ff,pll_db_commit_8996,Frac start byte 1 (0x740f0)
0024,PLL,0x00994878,0x078,0x00000007,0x000000ff,pll_db_commit_8996,Frac start byte 2 (0x740f0)
0025,PLL,0x0099487c,0x07c,0x00000033,0x000000ff,pll_db_commit_8996,VCO divider ref part 1
0026,PLL,0x00994880,0x080,0x00000003,0x000000ff,pll_db_commit_8996,VCO divider ref part 2
0027,PLL,0x00994884,0x084,0x0000000b,0x000000ff,pll_db_commit_8996,Charge pump current setting
0028,PLL,0x00994888,0x088,0x0000001f,0x000000ff,pll_db_commit_8996,Loop filter resistor 1
0029,PLL,0x00994890,0x090,0x00000000,0x000000ff,pll_db_commit_8996,Loop filter capacitor 1
0030,PLL,0x00994894,0x094,0x00000030,0x000000ff,pll_db_commit_8996,Loop filter capacitor 2
0031,PLL,0x00994898,0x098,0x00000000,0x000000ff,pll_db_commit_8996,Disable BIST mode on lanes
0032,PLL,0x0099489c,0x09c,0x00000002,0x000000ff,pll_db_commit_8996,Reset SM control 4
