# Linux Golden DSI Controller Status: Xperia XZs (Keyaki / MSM8996)
# Hardware Target: BH905SX976
# Live Physical Register Dump from DSI0 CTRL (0x00994000)

DSI0_CTRL_BASE=0x00994000
DSI0_CTRL_SIZE=0x400

# Verified Active Operational Registers:
# Address     Offset  Value       Field / Meaning
0x00994000    0x000   0x10040001  DSI_HW_VERSION (v1.4.1)
0x0099400c    0x00c   0x33333000  DSI_CTRL_0
0x00994010    0x010   0x00008000  DSI_STATUS
0x00994014    0x014   0x31211101  DSI_FIFO_STATUS
0x00994018    0x018   0x3e2e1e0e  DSI_TIMING_CTRL
0x0099401c    0x01c   0x00001900  DSI_CLK_CTRL
0x00994040    0x040   0x06100006  DSI_TRIG_CTRL
0x00994044    0x044   0x00003c2c  DSI_TIMING_MISR
0x00994054    0x054   0x00000900  DSI_COMMAND_MODE_DMA_CTRL
0x0099407c    0x07c   0x22211211  DSI_MISR_CMD_MDP
0x00994080    0x080   0x001c1a02  DSI_EOT_PACKET_CTRL
0x009940b4    0x0b4   0x00088888  DSI_ERR_INT_MASK0
0x009940b8    0x0b8   0xffffffff  DSI_INT_CTRL
0x009940bc    0x0bc   0x0000ffff  DSI_INT_STATUS
0x009940c8    0x0c8   0x010f0f08  DSI_DMA_STATUS
0x009940f0    0x0f0   0x00000001  DSI_CTRL (Bit 0 = 1 -> DSI0 ENABLED)
0x0099410c    0x10c   0x7fff3bff  DSI_COMMAND_MODE_MDP_STREAM0_CTRL
0x00994110    0x110   0xa220aa02  DSI_COMMAND_MODE_MDP_CTRL
0x00994120    0x120   0x0000f48c  DSI_COMMAND_MODE_MDP_DCS_CMD_CTRL
0x00994134    0x134   0xffffffff  DSI_DMA_FIFO_CTRL
0x00994138    0x138   0xffffffff  DSI_DMA_FIFO_STATUS
0x0099413c    0x13c   0xffffffff  DSI_MDP_FIFO_CTRL
0x00994140    0x140   0xffffffff  DSI_MDP_FIFO_STATUS
0x00994148    0x148   0x0000ffff  DSI_CMD_FIFO_STATUS
0x0099414c    0x14c   0x0000ffff  DSI_CMD_FIFO_CTRL
0x00994150    0x150   0x0000ffff  DSI_SCRATCH_REGISTER_0
0x00994154    0x154   0x0000ffff  DSI_SCRATCH_REGISTER_1
0x0099415c    0x15c   0x00000004  DSI_LANE_STATUS
0x009941a4    0x1a4   0x00000001  DSI_ERR_INT_MASK1
0x009941a8    0x1a8   0x00ff0000  DSI_DEBUG_BUS_CTRL
0x009941ac    0x1ac   0x00400040  DSI_DEBUG_BUS_STATUS
0x009941b0    0x1b0   0x000000ff  DSI_TEST_PATTERN_GEN_CTRL
0x009941b4    0x1b4   0x00000024  DSI_EOT_PACKET_CTRL
0x009941b8    0x1b8   0x00000006  DSI_LANE_STATUS_CTRL
0x009941c8    0x1c8   0xffffffff  DSI_INTR_CTRL
0x009941d0    0x1d0   0x00290000  DSI_CMD_MODE_DMA_CTRL2
0x009941f4    0x1f4   0x03000104  DSI_LANE_CTRL (4 Data Lanes Enabled: DL0..DL3 + CLK)
0x00994200    0x200   0x80000000  DSI_CLKOUT_TIMING_CTRL
0x009942a0    0x2a0   0x00000b00  DSI_T_CLK_PRE_EXTEND
0x009942a8    0x2a8   0x39003900  DSI_CMD_MODE_DMA_SW_TRIGGER
0x009942b8    0x2b8   0x3e2e0600  DSI_EOT_PACKET_CTRL2
0x009942bc    0x2bc   0x0000f000  DSI_COMMAND_MODE_NULL_INSERTION_CTRL

# Controller Verification Summary:
DSI0_ENABLED=yes (0x009940f0 = 0x00000001)
DATA_LANES=4 (0x009941f4 = 0x03000104)
MODE=COMMAND_MODE (0x00994110 = 0xa220aa02)
HOST_READY=yes
