STEP,CHECKPOINT,BLOCK,ADDRESS,OFFSET,VALUE,MASK,NAME,PURPOSE
0001,D8M3-A0,PHY,0x00994564,0x164,0x0000001d,0x000000ff,DL0_REGULATOR_CTRL,Data lane 0 LDO bias
0002,D8M3-A0,PHY,0x009945e4,0x1e4,0x0000001d,0x000000ff,DL1_REGULATOR_CTRL,Data lane 1 LDO bias
0003,D8M3-A0,PHY,0x00994664,0x264,0x0000001d,0x000000ff,DL2_REGULATOR_CTRL,Data lane 2 LDO bias
0004,D8M3-A0,PHY,0x009946e4,0x2e4,0x0000001d,0x000000ff,DL3_REGULATOR_CTRL,Data lane 3 LDO bias
0005,D8M3-A0,PHY,0x00994764,0x364,0x0000001d,0x000000ff,CLK_REGULATOR_CTRL,Clock lane LDO bias
0006,D8M3-A0,DSI_CTRL,0x0099412c,0x12c,0x00000001,0x00000001,DSI_PHY_SW_RESET,Assert PHY soft reset
0007,D8M3-A0,DSI_CTRL,0x0099412c,0x12c,0x00000000,0x00000001,DSI_PHY_SW_RESET,Deassert PHY soft reset
0008,D8M3-20,PHY,0x0099444c,0x04c,0x00000001,0x000000ff,PHY_CMN_CLK_CFG1,Post-N1 divider = 2
0009,D8M3-30,PHY,0x00994448,0x048,0x00000000,0x000000ff,PHY_CMN_CLK_CFG0,Clear ext clk override
0010,D8M3-30,PLL,0x00994800,0x000,0x00000004,0x000000ff,PLL_SYSCLK_EN_RESET,Sysclk enable & reset
0011,D8M3-30,PLL,0x00994804,0x004,0x00000007,0x000000ff,PLL_TXCLK_EN,Enable Tx clock channels
0012,D8M3-30,PLL,0x00994810,0x010,0x00000005,0x000000ff,PLL_RESETSM_CNTRL3,Reset SM control 3
0013,D8M3-30,PLL,0x00994828,0x028,0x00000020,0x000000ff,PLL_RESETSM_CNTRL,Reset SM counter initial
0014,D8M3-30,PLL,0x0099482c,0x02c,0x00000000,0x000000ff,PLL_BKUP_CTRL,Clear backup control
0015,D8M3-30,PLL,0x00994830,0x030,0x00000038,0x000000ff,PLL_KVCO_DIV_REF1,Kvco divider reference 1
0016,D8M3-30,PLL,0x0099483c,0x03c,0x00000057,0x000000ff,PLL_PLLLOCK_CMP1,Lock cmp low byte (0x957)
0017,D8M3-30,PLL,0x00994840,0x040,0x00000009,0x000000ff,PLL_PLLLOCK_CMP2,Lock cmp high byte (0x957)
0018,D8M3-30,PLL,0x00994844,0x044,0x00000000,0x000000ff,PLL_PLLLOCK_CMP3,Lock cmp upper byte
0019,D8M3-30,PLL,0x00994848,0x048,0x00000001,0x000000ff,PLL_PLLLOCK_CMP_EN,Enable lock comparison
0020,D8M3-30,PLL,0x0099484c,0x04c,0x00000019,0x000000ff,PLL_PLL_LOCK_MIN_DELAY,Min lock delay cycles
0021,D8M3-30,PLL,0x0099486c,0x06c,0x0000005d,0x000000ff,PLL_DEC_START,Decimation start (93)
0022,D8M3-30,PLL,0x00994870,0x070,0x000000f0,0x000000ff,PLL_DIV_FRAC_START1,Frac start byte 0 (0x740f0)
0023,D8M3-30,PLL,0x00994874,0x074,0x00000040,0x000000ff,PLL_DIV_FRAC_START2,Frac start byte 1 (0x740f0)
0024,D8M3-30,PLL,0x00994878,0x078,0x00000007,0x000000ff,PLL_DIV_FRAC_START3,Frac start byte 2 (0x740f0)
0025,D8M3-30,PLL,0x0099487c,0x07c,0x00000033,0x000000ff,PLL_VCO_DIV_REF1,VCO divider ref 1
0026,D8M3-30,PLL,0x00994880,0x080,0x00000003,0x000000ff,PLL_VCO_DIV_REF2,VCO divider ref 2
0027,D8M3-30,PLL,0x00994884,0x084,0x0000000b,0x000000ff,PLL_CP_SET,Charge pump current
0028,D8M3-30,PLL,0x00994888,0x088,0x0000001f,0x000000ff,PLL_LPF_RES1,Loop filter resistor 1
0029,D8M3-30,PLL,0x00994890,0x090,0x00000000,0x000000ff,PLL_LPF_CAP1,Loop filter capacitor 1
0030,D8M3-30,PLL,0x00994894,0x094,0x00000030,0x000000ff,PLL_LPF_CAP2,Loop filter capacitor 2
0031,D8M3-30,PLL,0x00994898,0x098,0x00000000,0x000000ff,PLL_BIST_MODE_LANES,Disable BIST mode
0032,D8M3-30,PLL,0x0099489c,0x09c,0x00000002,0x000000ff,PLL_RESETSM_CNTRL4,Reset SM control 4
0033,D8M3-30,PLL,0x009948a0,0x0a0,0x00000000,0x000000ff,PLL_RESETSM_CNTRL5,Reset SM control 5
0034,D8M3-30,PLL,0x009948a4,0x0a4,0x00000000,0x000000ff,PLL_KVCO_COUNT1,Kvco count 1
