Domain,Offset,RegisterName,ValueHex,ValueDec
HOST,0x00000,CAP,0x0107001F,17235999
HOST,0x00008,VER,0x00010100,65792
HOST,0x00010,HCPID,0x01000000,16777216
HOST,0x00014,HCMID,0x00010217,66071
HOST,0x00018,AHIT,0x00000000,0
HOST,0x00020,IS,0x00000000,0
HOST,0x00024,IE,0x00000000,0
HOST,0x00030,HCS,0x00000000,0
HOST,0x00034,HCE,0x00000000,0
HOST,0x00038,UECPA,0x00000000,0
HOST,0x0003C,UECDL,0x00000000,0
HOST,0x00040,UECN,0x00000000,0
HOST,0x00044,UECT,0x00000000,0
HOST,0x00048,UECDME,0x00000000,0
HOST,0x0004C,UTRIACR,0x00000000,0
HOST,0x00050,UTRLBA,0x00000000,0
HOST,0x00054,UTRLBAU,0x00000000,0
HOST,0x00058,UTRLDBR,0x00000000,0
HOST,0x0005C,UTRLCLR,0x00000000,0
HOST,0x00060,UTRLRSR,0x00000000,0
HOST,0x00070,UTMRLBA,0x00000000,0
HOST,0x00074,UTMRLBAU,0x00000000,0
HOST,0x00078,UTMRLDBR,0x00000000,0
HOST,0x0007C,UTMRLCLR,0x00000000,0
HOST,0x00080,UTMRLRSR,0x00000000,0
HOST,0x00090,UICCMD,0x00000000,0
HOST,0x00094,UICCMDARG1,0x00000000,0
HOST,0x00098,UICCMDARG2,0x00000000,0
HOST,0x0009C,UICCMDARG3,0x00000000,0
HOST,0x000DC,REG_UFS_CFG1,0x1C00052C,469763372
HOST,0x000E0,REG_UFS_CFG2,0x3F011300,1057035008
HOST,0x000E4,QCOM_HW_VER,0x20020000,537001984
GCC,0x75000,GCC_UFS_BCR,0x00000000,0
GCC,0x75004,UFS_GDSC,0xA0222000,2686590976
GCC,0x75008,GCC_UFS_AXI,0x00000000,0
GCC,0x7500C,GCC_UFS_AHB,0x00000000,0
GCC,0x75010,GCC_UFS_TX_CFG,0x80000000,2147483648
GCC,0x75014,GCC_UFS_RX_CFG,0x80000000,2147483648
GCC,0x75038,GCC_SYS_NOC_UFS_AXI,0x00000000,0
GCC,0x83014,GCC_AGGRE2_UFS_AXI,0x00000000,0
GCC,0x88008,GCC_UFS_CLKREF,0x00000001,1
PHY,0x0000C,QSERDES_COM_BG_TIMER,0x0000000A,10
PHY,0x00034,QSERDES_COM_BIAS_EN_CLKBUFLR_EN,0x00000008,8
PHY,0x0003C,QSERDES_COM_SYS_CLK_CTRL,0x00000002,2
PHY,0x0004C,QSERDES_COM_LOCK_CMP1_MODE0,0x000000FF,255
PHY,0x00050,QSERDES_COM_LOCK_CMP2_MODE0,0x0000000C,12
PHY,0x00054,QSERDES_COM_LOCK_CMP3_MODE0,0x00000000,0
PHY,0x00058,QSERDES_COM_LOCK_CMP1_MODE1,0x00000032,50
PHY,0x0005C,QSERDES_COM_LOCK_CMP2_MODE1,0x0000000F,15
PHY,0x00060,QSERDES_COM_LOCK_CMP3_MODE1,0x00000000,0
PHY,0x00078,QSERDES_COM_CP_CTRL_MODE0,0x0000000B,11
PHY,0x0007C,QSERDES_COM_CP_CTRL_MODE1,0x0000000B,11
PHY,0x00084,QSERDES_COM_PLL_RCTRL_MODE0,0x00000016,22
PHY,0x00088,QSERDES_COM_PLL_RCTRL_MODE1,0x00000016,22
PHY,0x00090,QSERDES_COM_PLL_CCTRL_MODE0,0x00000028,40
PHY,0x00094,QSERDES_COM_PLL_CCTRL_MODE1,0x00000028,40
PHY,0x000AC,QSERDES_COM_SYSCLK_EN_SEL,0x00000014,20
PHY,0x000B4,QSERDES_COM_RESETSM_CNTRL,0x00000020,32
PHY,0x000C8,QSERDES_COM_LOCK_CMP_EN,0x00000001,1
PHY,0x000CC,QSERDES_COM_LOCK_CMP_CFG,0x00000000,0
PHY,0x000D0,QSERDES_COM_DEC_START_MODE0,0x00000082,130
PHY,0x000D4,QSERDES_COM_DEC_START_MODE1,0x00000098,152
PHY,0x000DC,QSERDES_COM_DIV_FRAC_START1_MODE0,0x00000000,0
PHY,0x000E0,QSERDES_COM_DIV_FRAC_START2_MODE0,0x00000000,0
PHY,0x000E4,QSERDES_COM_DIV_FRAC_START3_MODE0,0x00000000,0
PHY,0x000E8,QSERDES_COM_DIV_FRAC_START1_MODE1,0x00000000,0
PHY,0x000EC,QSERDES_COM_DIV_FRAC_START2_MODE1,0x00000000,0
PHY,0x000F0,QSERDES_COM_DIV_FRAC_START3_MODE1,0x00000000,0
PHY,0x00108,QSERDES_COM_INTEGLOOP_GAIN0_MODE0,0x00000080,128
PHY,0x0010C,QSERDES_COM_INTEGLOOP_GAIN1_MODE0,0x00000000,0
PHY,0x00110,QSERDES_COM_INTEGLOOP_GAIN0_MODE1,0x00000080,128
PHY,0x00114,QSERDES_COM_INTEGLOOP_GAIN1_MODE1,0x00000000,0
PHY,0x00124,QSERDES_COM_VCO_TUNE_CTRL,0x00000000,0
PHY,0x00128,QSERDES_COM_VCO_TUNE_MAP,0x00000044,68
PHY,0x0012C,QSERDES_COM_VCO_TUNE1_MODE0,0x00000028,40
PHY,0x00130,QSERDES_COM_VCO_TUNE2_MODE0,0x00000002,2
PHY,0x00134,QSERDES_COM_VCO_TUNE1_MODE1,0x0000000A,10
PHY,0x00138,QSERDES_COM_VCO_TUNE2_MODE1,0x00000000,0
PHY,0x00144,QSERDES_COM_VCO_TUNE_TIMER1,0x000000FF,255
PHY,0x00148,QSERDES_COM_VCO_TUNE_TIMER2,0x0000003F,63
PHY,0x00174,QSERDES_COM_CLK_SELECT,0x00000030,48
PHY,0x00178,QSERDES_COM_HSCLK_SEL,0x00000000,0
