name,address,type,parent,expected_rate,raw,enabled,clk_off
UFS_AXI_CBCR,0x75008,branch,GCC_UFS_AXI_CLK_SRC,200000000,0x80004220,0,1
UFS_AHB_CBCR,0x7500c,branch,PERIPH_NOC_AHB,0,0x80008000,0,1
SYS_NOC_UFS_AXI_CBCR,0x75038,branch,SYS_NOC,0,0x80000000,0,1
AGGRE2_UFS_AXI_CBCR,0x83014,branch,AGGRE2,0,0x80000000,0,1
UFS_CLKREF_CBCR,0x88008,branch,LN_BB,19200000,0x00000001,1,0
UNIPRO_CORE_CBCR,0x7600c,branch,UFS_ICE_CORE_CMD_RCGR,37500000,0x80014220,0,1
ICE_CORE_CBCR,0x76010,branch,UFS_ICE_CORE_CMD_RCGR,150000000,0x80004220,0,1
TX_SYMBOL_0_CBCR,0x75018,branch,UFS_PHY_TX_SYMBOL_0,0,0x80004000,0,1
RX_SYMBOL_0_CBCR,0x7501c,branch,UFS_PHY_RX_SYMBOL_0,0,0x80004000,0,1
TX_CFG_CBCR,0x75010,branch,UFS_AXI_DIV16,0,0x80000000,0,1
RX_CFG_CBCR,0x75014,branch,UFS_AXI_DIV16,0,0x80000000,0,1
UFS_AXI_CMD_RCGR,0x75024,rcg,gpll0,200000000,0x80000000,0,1
UFS_AXI_CFG_RCGR,0x75028,rcg_cfg,gpll0,200000000,0x00000000,0,0
UFS_ICE_CMD_RCGR,0x76014,rcg,gpll0,150000000,0x80000000,0,1
UFS_ICE_CFG_RCGR,0x76018,rcg_cfg,gpll0,150000000,0x00000000,0,0
